Area Code,Date,Product,Product Line,Product Type,State,Territory,Territory Size,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
309,01-01-2012,Caffe Mocha,Beans,Espresso,Illinois,Central,Major Territory,Regular,270,370,260,640,234,"1,310",312,77,1,203,546,109
614,01-01-2012,Caffe Mocha,Beans,Espresso,Ohio,Central,Major Territory,Regular,190,210,140,400,170,"1,091",171,47,1,99,341,72
239,01-01-2012,Caffe Mocha,Beans,Espresso,Florida,East,Major Territory,Regular,70,110,30,180,79,551,111,72,1,9,190,102
781,01-01-2012,Caffe Mocha,Beans,Espresso,Massachusetts,East,Major Territory,Regular,60,60,-10,120,63,435,63,57,1,-23,126,86
315,01-01-2012,Caffe Mocha,Beans,Espresso,New York,East,Major Territory,Regular,100,-50,-170,50,105,725,-44,95,1,-172,61,128
978,01-01-2012,Regular Espresso,Beans,Espresso,Massachusetts,East,Major Territory,Regular,160,170,110,330,170,"1,091",171,47,1,100,341,71
631,01-01-2012,Regular Espresso,Beans,Espresso,New York,East,Major Territory,Regular,210,270,200,480,228,"1,459",262,63,1,175,490,87
830,01-01-2012,Caffe Latte,Beans,Espresso,Texas,South,Major Territory,Regular,60,90,50,150,72,558,108,23,1,53,180,55
325,01-01-2012,Caffe Mocha,Beans,Espresso,Texas,South,Major Territory,Regular,70,110,90,180,89,777,130,24,1,95,219,35
661,01-01-2012,Caffe Latte,Beans,Espresso,California,West,Major Territory,Regular,210,220,150,430,228,"1,459",228,63,1,140,456,88
818,01-01-2012,Caffe Mocha,Beans,Espresso,California,West,Major Territory,Regular,100,140,20,240,105,725,145,95,1,17,250,128
712,01-01-2012,Decaf Irish Cream,Beans,Coffee,Iowa,Central,Small Territory,Decaf,20,30,20,50,23,623,31,7,1,12,54,19
573,01-01-2012,Decaf Irish Cream,Beans,Coffee,Missouri,Central,Small Territory,Decaf,80,90,50,170,78,965,92,24,1,47,170,45
414,01-01-2012,Decaf Irish Cream,Beans,Coffee,Wisconsin,Central,Small Territory,Decaf,80,100,60,180,77,432,103,25,1,51,180,52
985,01-01-2012,Decaf Irish Cream,Beans,Coffee,Louisiana,South,Small Territory,Decaf,40,60,50,100,33,777,48,9,1,28,81,20
505,01-01-2012,Decaf Irish Cream,Beans,Coffee,New Mexico,South,Small Territory,Decaf,110,10,-30,120,88,525,11,27,1,-39,99,50
580,01-01-2012,Decaf Irish Cream,Beans,Coffee,Oklahoma,South,Small Territory,Decaf,40,60,50,100,32,821,48,8,1,28,80,20
775,01-01-2012,Decaf Irish Cream,Beans,Coffee,Nevada,West,Small Territory,Decaf,30,40,20,70,28,965,34,8,1,4,62,30
971,01-01-2012,Decaf Irish Cream,Beans,Coffee,Oregon,West,Small Territory,Decaf,70,100,70,170,57,364,83,18,1,42,140,41
801,01-01-2012,Decaf Irish Cream,Beans,Coffee,Utah,West,Small Territory,Decaf,100,130,70,230,85,494,105,32,1,39,190,66
509,01-01-2012,Decaf Irish Cream,Beans,Coffee,Washington,West,Small Territory,Decaf,90,140,60,230,79,551,111,72,1,9,190,102
563,01-01-2012,Decaf Espresso,Beans,Espresso,Iowa,Central,Small Territory,Decaf,10,40,30,50,17,777,26,4,1,10,43,16
660,01-01-2012,Decaf Espresso,Beans,Espresso,Missouri,Central,Small Territory,Decaf,50,80,60,130,46,777,68,12,1,45,114,23
262,01-01-2012,Decaf Espresso,Beans,Espresso,Wisconsin,Central,Small Territory,Decaf,50,70,50,120,48,623,62,15,1,34,110,28
475,01-01-2012,Decaf Espresso,Beans,Espresso,Connecticut,East,Small Territory,Decaf,50,70,40,120,55,312,75,18,1,30,130,45
337,01-01-2012,Decaf Espresso,Beans,Espresso,Louisiana,South,Small Territory,Decaf,50,70,50,120,61,390,89,19,1,48,150,41
505,01-01-2012,Decaf Espresso,Beans,Espresso,New Mexico,South,Small Territory,Decaf,30,40,10,70,35,196,47,11,1,9,82,38
405,01-01-2012,Decaf Espresso,Beans,Espresso,Oklahoma,South,Small Territory,Decaf,70,110,70,180,84,651,126,27,1,67,210,59
775,01-01-2012,Decaf Espresso,Beans,Espresso,Nevada,West,Small Territory,Decaf,10,30,20,40,17,777,26,4,1,11,43,15
971,01-01-2012,Decaf Espresso,Beans,Espresso,Oregon,West,Small Territory,Decaf,160,160,100,320,170,"1,091",171,47,1,99,341,72
435,01-01-2012,Decaf Espresso,Beans,Espresso,Utah,West,Small Territory,Decaf,40,70,50,110,50,821,73,14,1,47,123,26
206,01-01-2012,Decaf Espresso,Beans,Espresso,Washington,West,Small Territory,Decaf,60,80,60,140,69,965,81,21,1,39,150,42
319,01-01-2012,Amaretto,Beans,Coffee,Iowa,Central,Small Territory,Regular,10,30,20,40,18,821,27,5,1,11,45,16
262,01-01-2012,Amaretto,Beans,Coffee,Wisconsin,Central,Small Territory,Regular,50,70,30,120,54,312,66,20,1,13,120,53
641,01-01-2012,Colombian,Beans,Coffee,Iowa,Central,Small Territory,Regular,20,40,20,60,28,965,34,8,1,5,62,29
636,01-01-2012,Colombian,Beans,Coffee,Missouri,Central,Small Territory,Regular,90,100,40,190,85,494,105,32,1,39,190,66
262,01-01-2012,Colombian,Beans,Coffee,Wisconsin,Central,Small Territory,Regular,80,110,20,190,79,551,111,72,1,9,190,102
603,01-01-2012,Amaretto,Beans,Coffee,New Hampshire,East,Small Territory,Regular,30,50,30,80,38,241,55,12,1,20,93,35
475,01-01-2012,Colombian,Beans,Coffee,Connecticut,East,Small Territory,Regular,110,180,130,290,124,961,186,40,1,115,310,71
603,01-01-2012,Colombian,Beans,Coffee,New Hampshire,East,Small Territory,Regular,40,70,40,110,48,372,72,15,1,25,120,47
225,01-01-2012,Colombian,Beans,Coffee,Louisiana,South,Small Territory,Regular,40,60,50,100,34,777,51,9,1,30,85,21
505,01-01-2012,Colombian,Beans,Coffee,New Mexico,South,Small Territory,Regular,60,90,50,150,48,372,72,15,1,26,120,46
580,01-01-2012,Colombian,Beans,Coffee,Oklahoma,South,Small Territory,Regular,50,70,50,120,44,623,56,14,1,29,100,27
541,01-01-2012,Amaretto,Beans,Coffee,Oregon,West,Small Territory,Regular,70,110,40,180,63,435,87,57,1,1,150,86
801,01-01-2012,Amaretto,Beans,Coffee,Utah,West,Small Territory,Regular,90,120,80,210,78,965,92,24,1,47,170,45
702,01-01-2012,Colombian,Beans,Coffee,Nevada,West,Small Territory,Regular,40,50,10,90,34,197,42,12,1,-3,76,45
503,01-01-2012,Colombian,Beans,Coffee,Oregon,West,Small Territory,Regular,80,120,60,200,67,400,93,22,1,28,160,65
435,01-01-2012,Colombian,Beans,Coffee,Utah,West,Small Territory,Regular,60,100,70,160,55,312,75,18,1,30,130,45
206,01-01-2012,Colombian,Beans,Coffee,Washington,West,Small Territory,Regular,60,100,70,160,53,338,77,16,1,38,130,39
563,01-01-2012,Caffe Mocha,Beans,Espresso,Iowa,Central,Small Territory,Regular,10,40,30,50,17,777,26,4,1,11,43,15
573,01-01-2012,Caffe Mocha,Beans,Espresso,Missouri,Central,Small Territory,Regular,50,90,70,140,50,821,73,14,1,48,123,25
414,01-01-2012,Caffe Mocha,Beans,Espresso,Wisconsin,Central,Small Territory,Regular,80,90,50,170,69,965,81,21,1,38,150,43
860,01-01-2012,Caffe Mocha,Beans,Espresso,Connecticut,East,Small Territory,Regular,70,100,20,170,75,522,105,68,1,7,180,98
603,01-01-2012,Caffe Mocha,Beans,Espresso,New Hampshire,East,Small Territory,Regular,30,50,0,80,37,261,53,34,1,-10,90,63
603,01-01-2012,Regular Espresso,Beans,Espresso,New Hampshire,East,Small Territory,Regular,20,40,0,60,29,169,36,11,1,-8,65,44
504,01-01-2012,Caffe Latte,Beans,Espresso,Louisiana,South,Small Territory,Regular,60,90,10,150,75,522,105,68,1,8,180,97
505,01-01-2012,Caffe Latte,Beans,Espresso,New Mexico,South,Small Territory,Regular,20,30,0,50,29,169,36,11,1,-8,65,44
405,01-01-2012,Caffe Latte,Beans,Espresso,Oklahoma,South,Small Territory,Regular,70,100,70,170,84,500,116,26,1,66,200,50
337,01-01-2012,Caffe Mocha,Beans,Espresso,Louisiana,South,Small Territory,Regular,50,100,80,150,67,400,113,20,1,70,180,43
505,01-01-2012,Caffe Mocha,Beans,Espresso,New Mexico,South,Small Territory,Regular,30,40,-10,70,37,261,53,34,1,-10,90,63
405,01-01-2012,Caffe Mocha,Beans,Espresso,Oklahoma,South,Small Territory,Regular,20,40,40,60,32,456,48,8,1,28,80,20
775,01-01-2012,Caffe Latte,Beans,Espresso,Nevada,West,Small Territory,Regular,10,30,20,40,17,777,26,4,1,11,43,15
503,01-01-2012,Caffe Latte,Beans,Espresso,Oregon,West,Small Territory,Regular,50,70,20,120,58,338,72,22,1,16,130,56
435,01-01-2012,Caffe Latte,Beans,Espresso,Utah,West,Small Territory,Regular,40,60,40,100,46,777,68,12,1,44,114,24
425,01-01-2012,Caffe Latte,Beans,Espresso,Washington,West,Small Territory,Regular,40,60,40,100,48,623,62,15,1,35,110,27
702,01-01-2012,Caffe Mocha,Beans,Espresso,Nevada,West,Small Territory,Regular,10,30,20,40,18,821,27,5,1,10,45,17
503,01-01-2012,Caffe Mocha,Beans,Espresso,Oregon,West,Small Territory,Regular,50,80,50,130,60,336,80,19,1,33,140,47
435,01-01-2012,Caffe Mocha,Beans,Espresso,Utah,West,Small Territory,Regular,40,60,40,100,49,623,63,16,1,34,112,29
253,01-01-2012,Caffe Mocha,Beans,Espresso,Washington,West,Small Territory,Regular,50,60,20,110,54,312,66,20,1,13,120,53
970,01-01-2012,Chamomile,Leaves,Herbal Tea,Colorado,Central,Major Territory,Decaf,140,160,110,300,170,"1,091",171,47,1,99,341,72
312,01-01-2012,Chamomile,Leaves,Herbal Tea,Illinois,Central,Major Territory,Decaf,70,120,100,190,89,777,130,24,1,95,219,35
937,01-01-2012,Chamomile,Leaves,Herbal Tea,Ohio,Central,Major Territory,Decaf,20,50,50,70,32,456,48,8,1,29,80,19
719,01-01-2012,Lemon,Leaves,Herbal Tea,Colorado,Central,Major Territory,Decaf,50,80,20,130,63,435,87,57,1,0,150,87
630,01-01-2012,Lemon,Leaves,Herbal Tea,Illinois,Central,Major Territory,Decaf,70,90,60,160,83,623,107,27,1,68,190,39
740,01-01-2012,Lemon,Leaves,Herbal Tea,Ohio,Central,Major Territory,Decaf,20,50,50,70,32,821,48,8,1,29,80,19
970,01-01-2012,Mint,Leaves,Herbal Tea,Colorado,Central,Major Territory,Decaf,50,70,40,120,60,336,80,19,1,33,140,47
773,01-01-2012,Mint,Leaves,Herbal Tea,Illinois,Central,Major Territory,Decaf,80,120,100,200,95,821,139,26,1,101,234,38
863,01-01-2012,Chamomile,Leaves,Herbal Tea,Florida,East,Major Territory,Decaf,30,50,30,80,48,623,62,15,1,34,110,28
239,01-01-2012,Lemon,Leaves,Herbal Tea,Florida,East,Major Territory,Decaf,40,50,20,90,54,312,66,20,1,13,120,53
339,01-01-2012,Lemon,Leaves,Herbal Tea,Massachusetts,East,Major Territory,Decaf,40,60,30,100,58,338,72,22,1,17,130,55
607,01-01-2012,Lemon,Leaves,Herbal Tea,New York,East,Major Territory,Decaf,180,190,100,370,245,"1,419",238,93,1,111,483,127
772,01-01-2012,Mint,Leaves,Herbal Tea,Florida,East,Major Territory,Decaf,50,60,40,110,69,965,81,21,1,39,150,42
845,01-01-2012,Mint,Leaves,Herbal Tea,New York,East,Major Territory,Decaf,150,-10,-70,140,207,965,-27,64,1,-113,180,86
281,01-01-2012,Chamomile,Leaves,Herbal Tea,Texas,South,Major Territory,Decaf,50,80,50,130,60,336,80,19,1,33,140,47
254,01-01-2012,Lemon,Leaves,Herbal Tea,Texas,South,Major Territory,Decaf,50,80,50,130,57,364,83,18,1,42,140,41
510,01-01-2012,Chamomile,Leaves,Herbal Tea,California,West,Major Territory,Decaf,80,120,100,200,95,821,139,26,1,102,234,37
310,01-01-2012,Lemon,Leaves,Herbal Tea,California,West,Major Territory,Decaf,170,220,160,390,207,965,245,64,1,160,452,85
707,01-01-2012,Mint,Leaves,Herbal Tea,California,West,Major Territory,Decaf,70,90,60,160,83,623,107,27,1,67,190,40
719,01-01-2012,Darjeeling,Leaves,Tea,Colorado,Central,Major Territory,Regular,40,70,20,110,58,338,72,22,1,17,130,55
217,01-01-2012,Darjeeling,Leaves,Tea,Illinois,Central,Major Territory,Regular,40,70,50,110,54,456,80,15,1,53,134,27
567,01-01-2012,Darjeeling,Leaves,Tea,Ohio,Central,Major Territory,Regular,70,110,60,180,84,651,126,27,1,68,210,58
303,01-01-2012,Earl Grey,Leaves,Tea,Colorado,Central,Major Territory,Regular,50,70,40,120,64,965,76,19,1,36,140,40
708,01-01-2012,Earl Grey,Leaves,Tea,Illinois,Central,Major Territory,Regular,60,90,40,150,72,558,108,23,1,54,180,54
216,01-01-2012,Earl Grey,Leaves,Tea,Ohio,Central,Major Territory,Regular,70,100,60,170,84,500,116,26,1,67,200,49
303,01-01-2012,Green Tea,Leaves,Tea,Colorado,Central,Major Territory,Regular,30,50,30,80,44,623,56,14,1,30,100,26
954,01-01-2012,Darjeeling,Leaves,Tea,Florida,East,Major Territory,Regular,30,50,40,80,32,821,48,8,1,28,80,20
508,01-01-2012,Darjeeling,Leaves,Tea,Massachusetts,East,Major Territory,Regular,30,50,40,80,32,821,48,8,1,29,80,19
347,01-01-2012,Darjeeling,Leaves,Tea,New York,East,Major Territory,Regular,100,150,120,250,95,821,139,26,1,101,234,38
646,01-01-2012,Earl Grey,Leaves,Tea,New York,East,Major Territory,Regular,90,140,110,230,89,777,130,24,1,94,219,36
754,01-01-2012,Green Tea,Leaves,Tea,Florida,East,Major Territory,Regular,30,50,40,80,33,777,48,9,1,28,81,20
781,01-01-2012,Green Tea,Leaves,Tea,Massachusetts,East,Major Territory,Regular,30,50,40,80,32,456,48,8,1,29,80,19
347,01-01-2012,Green Tea,Leaves,Tea,New York,East,Major Territory,Regular,50,90,70,140,54,456,80,15,1,54,134,26
619,01-01-2012,Darjeeling,Leaves,Tea,California,West,Major Territory,Regular,50,90,80,140,89,777,130,24,1,94,219,36
650,01-01-2012,Earl Grey,Leaves,Tea,California,West,Major Territory,Regular,30,60,60,90,54,456,80,15,1,54,134,26
760,01-01-2012,Green Tea,Leaves,Tea,California,West,Major Territory,Regular,40,80,50,120,72,558,108,23,1,54,180,54
641,01-01-2012,Chamomile,Leaves,Herbal Tea,Iowa,Central,Small Territory,Decaf,200,280,200,480,234,"1,310",312,77,1,202,546,110
573,01-01-2012,Chamomile,Leaves,Herbal Tea,Missouri,Central,Small Territory,Decaf,30,40,0,70,37,261,53,34,1,-11,90,64
715,01-01-2012,Chamomile,Leaves,Herbal Tea,Wisconsin,Central,Small Territory,Decaf,50,100,80,150,67,400,113,20,1,70,180,43
563,01-01-2012,Lemon,Leaves,Herbal Tea,Iowa,Central,Small Territory,Decaf,80,120,90,200,95,608,139,30,1,86,234,53
314,01-01-2012,Lemon,Leaves,Herbal Tea,Missouri,Central,Small Territory,Decaf,70,10,-20,80,88,525,11,27,1,-39,99,50
715,01-01-2012,Lemon,Leaves,Herbal Tea,Wisconsin,Central,Small Territory,Decaf,20,50,50,70,33,777,48,9,1,28,81,20
860,01-01-2012,Lemon,Leaves,Herbal Tea,Connecticut,East,Small Territory,Decaf,60,80,40,140,85,494,105,32,1,40,190,65
603,01-01-2012,Lemon,Leaves,Herbal Tea,New Hampshire,East,Small Territory,Decaf,20,30,0,50,34,197,42,12,1,-4,76,46
475,01-01-2012,Mint,Leaves,Herbal Tea,Connecticut,East,Small Territory,Decaf,50,80,50,130,78,965,92,24,1,47,170,45
337,01-01-2012,Chamomile,Leaves,Herbal Tea,Louisiana,South,Small Territory,Decaf,40,60,40,100,49,623,63,16,1,35,112,28
505,01-01-2012,Chamomile,Leaves,Herbal Tea,New Mexico,South,Small Territory,Decaf,10,30,20,40,18,821,27,5,1,11,45,16
918,01-01-2012,Chamomile,Leaves,Herbal Tea,Oklahoma,South,Small Territory,Decaf,50,60,20,110,54,312,66,20,1,13,120,53
504,01-01-2012,Lemon,Leaves,Herbal Tea,Louisiana,South,Small Territory,Decaf,80,100,40,180,85,494,105,32,1,40,190,65
505,01-01-2012,Lemon,Leaves,Herbal Tea,New Mexico,South,Small Territory,Decaf,20,40,20,60,28,965,34,8,1,4,62,30
580,01-01-2012,Lemon,Leaves,Herbal Tea,Oklahoma,South,Small Territory,Decaf,70,110,30,180,79,551,111,72,1,10,190,101
702,01-01-2012,Chamomile,Leaves,Herbal Tea,Nevada,West,Small Territory,Decaf,90,130,30,220,105,725,145,95,1,16,250,129
971,01-01-2012,Chamomile,Leaves,Herbal Tea,Oregon,West,Small Territory,Decaf,30,40,40,70,36,777,54,10,1,33,90,21
801,01-01-2012,Chamomile,Leaves,Herbal Tea,Utah,West,Small Territory,Decaf,30,50,30,80,38,241,55,12,1,21,93,34
206,01-01-2012,Chamomile,Leaves,Herbal Tea,Washington,West,Small Territory,Decaf,100,170,120,270,124,961,186,40,1,115,310,71
775,01-01-2012,Lemon,Leaves,Herbal Tea,Nevada,West,Small Territory,Decaf,120,180,120,300,144,862,201,47,1,111,345,90
503,01-01-2012,Lemon,Leaves,Herbal Tea,Oregon,West,Small Territory,Decaf,30,50,30,80,44,623,56,14,1,29,100,27
435,01-01-2012,Lemon,Leaves,Herbal Tea,Utah,West,Small Territory,Decaf,40,60,30,100,48,372,72,15,1,25,120,47
360,01-01-2012,Lemon,Leaves,Herbal Tea,Washington,West,Small Territory,Decaf,20,50,50,70,34,777,51,9,1,30,85,21
702,01-01-2012,Mint,Leaves,Herbal Tea,Nevada,West,Small Territory,Decaf,80,120,90,200,95,608,139,30,1,86,234,53
435,01-01-2012,Mint,Leaves,Herbal Tea,Utah,West,Small Territory,Decaf,70,10,-30,80,88,525,11,27,1,-40,99,51
712,01-01-2012,Darjeeling,Leaves,Tea,Iowa,Central,Small Territory,Regular,190,210,140,400,228,"1,459",228,63,1,141,456,87
314,01-01-2012,Darjeeling,Leaves,Tea,Missouri,Central,Small Territory,Regular,30,40,10,70,35,196,47,11,1,9,82,38
608,01-01-2012,Darjeeling,Leaves,Tea,Wisconsin,Central,Small Territory,Regular,50,80,50,130,61,390,89,19,1,47,150,42
319,01-01-2012,Earl Grey,Leaves,Tea,Iowa,Central,Small Territory,Regular,210,270,160,480,245,"1,419",301,93,1,175,546,126
573,01-01-2012,Earl Grey,Leaves,Tea,Missouri,Central,Small Territory,Regular,20,30,-10,50,29,169,36,11,1,-9,65,45
262,01-01-2012,Earl Grey,Leaves,Tea,Wisconsin,Central,Small Territory,Regular,60,90,10,150,75,522,105,68,1,7,180,98
417,01-01-2012,Green Tea,Leaves,Tea,Missouri,Central,Small Territory,Regular,20,40,0,60,34,197,42,12,1,-4,76,46
475,01-01-2012,Darjeeling,Leaves,Tea,Connecticut,East,Small Territory,Regular,50,80,60,130,50,821,73,14,1,47,123,26
603,01-01-2012,Darjeeling,Leaves,Tea,New Hampshire,East,Small Territory,Regular,10,30,20,40,18,821,27,5,1,10,45,17
475,01-01-2012,Green Tea,Leaves,Tea,Connecticut,East,Small Territory,Regular,40,60,40,100,38,777,56,10,1,35,94,21
603,01-01-2012,Green Tea,Leaves,Tea,New Hampshire,East,Small Territory,Regular,10,30,20,40,17,777,26,4,1,11,43,15
775,01-01-2012,Darjeeling,Leaves,Tea,Nevada,West,Small Territory,Regular,150,220,150,370,234,"1,310",312,77,1,203,546,109
971,01-01-2012,Darjeeling,Leaves,Tea,Oregon,West,Small Territory,Regular,20,30,30,50,32,456,48,8,1,28,80,20
435,01-01-2012,Darjeeling,Leaves,Tea,Utah,West,Small Territory,Regular,20,40,0,60,37,261,53,34,1,-10,90,63
360,01-01-2012,Darjeeling,Leaves,Tea,Washington,West,Small Territory,Regular,40,80,50,120,67,400,113,20,1,70,180,43
775,01-01-2012,Earl Grey,Leaves,Tea,Nevada,West,Small Territory,Regular,150,160,100,310,228,"1,459",228,63,1,141,456,87
503,01-01-2012,Earl Grey,Leaves,Tea,Oregon,West,Small Territory,Regular,50,90,60,140,84,651,126,27,1,68,210,58
435,01-01-2012,Earl Grey,Leaves,Tea,Utah,West,Small Territory,Regular,20,30,10,50,35,196,47,11,1,9,82,38
253,01-01-2012,Earl Grey,Leaves,Tea,Washington,West,Small Territory,Regular,40,60,40,100,61,390,89,19,1,48,150,41
702,01-01-2012,Green Tea,Leaves,Tea,Nevada,West,Small Territory,Regular,160,-160,-240,0,245,"1,419",-245,93,1,-354,17,126
541,01-01-2012,Green Tea,Leaves,Tea,Oregon,West,Small Territory,Regular,50,80,50,130,84,500,116,26,1,67,200,49
435,01-01-2012,Green Tea,Leaves,Tea,Utah,West,Small Territory,Regular,10,30,10,40,29,169,36,11,1,-9,65,45
360,01-01-2012,Green Tea,Leaves,Tea,Washington,West,Small Territory,Regular,40,80,20,120,75,522,105,68,1,8,180,97
719,01-02-2012,Decaf Irish Cream,Beans,Coffee,Colorado,Central,Major Territory,Decaf,100,140,110,240,95,809,137,26,1,99,232,38
847,01-02-2012,Decaf Irish Cream,Beans,Coffee,Illinois,Central,Major Territory,Decaf,110,150,100,260,104,596,150,33,1,95,254,55
614,01-02-2012,Decaf Irish Cream,Beans,Coffee,Ohio,Central,Major Territory,Decaf,50,80,20,130,54,427,75,49,1,-3,129,78
305,01-02-2012,Decaf Irish Cream,Beans,Coffee,Florida,East,Major Territory,Decaf,80,110,70,190,86,490,120,26,1,71,206,49
432,01-02-2012,Decaf Irish Cream,Beans,Coffee,Texas,South,Major Territory,Decaf,100,130,100,230,83,613,107,27,1,68,190,39
818,01-02-2012,Decaf Irish Cream,Beans,Coffee,California,West,Major Territory,Decaf,180,-30,-110,150,148,"1,071",-26,48,1,-117,122,91
303,01-02-2012,Decaf Espresso,Beans,Espresso,Colorado,Central,Major Territory,Decaf,80,140,90,220,75,549,114,24,1,59,189,55
312,01-02-2012,Decaf Espresso,Beans,Espresso,Illinois,Central,Major Territory,Decaf,260,270,180,530,228,"1,436",229,63,1,142,457,87
614,01-02-2012,Decaf Espresso,Beans,Espresso,Ohio,Central,Major Territory,Decaf,60,90,40,150,59,331,73,22,1,18,132,55
407,01-02-2012,Decaf Espresso,Beans,Espresso,Florida,East,Major Territory,Decaf,70,100,60,170,77,423,103,25,1,51,180,52
956,01-02-2012,Decaf Espresso,Beans,Espresso,Texas,South,Major Territory,Decaf,60,100,90,160,77,449,112,21,1,80,189,32
951,01-02-2012,Decaf Espresso,Beans,Espresso,California,West,Major Territory,Decaf,220,300,200,520,234,"1,282",311,77,1,202,545,109
303,01-02-2012,Amaretto,Beans,Coffee,Colorado,Central,Major Territory,Regular,100,150,120,250,99,766,144,27,1,105,243,39
937,01-02-2012,Amaretto,Beans,Coffee,Ohio,Central,Major Territory,Regular,60,80,50,140,60,329,80,19,1,33,140,47
720,01-02-2012,Colombian,Beans,Coffee,Colorado,Central,Major Territory,Regular,80,110,80,190,83,613,107,27,1,68,190,39
312,01-02-2012,Colombian,Beans,Coffee,Illinois,Central,Major Territory,Regular,150,220,140,370,148,844,206,48,1,115,354,91
513,01-02-2012,Colombian,Beans,Coffee,Ohio,Central,Major Territory,Regular,50,80,50,130,52,357,76,16,1,38,128,38
754,01-02-2012,Colombian,Beans,Coffee,Florida,East,Major Territory,Regular,70,120,80,190,80,640,120,26,1,63,200,57
774,01-02-2012,Colombian,Beans,Coffee,Massachusetts,East,Major Territory,Regular,70,370,330,440,75,235,395,24,1,340,470,55
917,01-02-2012,Colombian,Beans,Coffee,New York,East,Major Territory,Regular,240,370,250,610,258,"2,067",387,90,1,245,645,142
972,01-02-2012,Colombian,Beans,Coffee,Texas,South,Major Territory,Regular,260,320,240,580,213,942,252,66,1,164,465,88
909,01-02-2012,Amaretto,Beans,Coffee,California,West,Major Territory,Regular,130,30,-20,160,104,685,28,33,1,-27,132,55
415,01-02-2012,Colombian,Beans,Coffee,California,West,Major Territory,Regular,320,480,360,800,258,"2,067",387,90,1,245,645,142
970,01-02-2012,Caffe Mocha,Beans,Espresso,Colorado,Central,Major Territory,Regular,80,140,110,220,77,449,112,21,1,80,189,32
708,01-02-2012,Caffe Mocha,Beans,Espresso,Illinois,Central,Major Territory,Regular,270,370,260,640,234,"1,282",311,77,1,201,545,110
